ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.587349157825343,0.577746707909675,0.386297877913076,0.568199396795074,0.647347441547347,0.292985454197232,0.654521567493563,0.795029341762022,0.630114762223792,0
0.643653933181897,0.441300345006094,0.314380584546812,0.439304052259347,0.514545371214461,0.356684637814636,0.377247959196407,0.202914344790283,0.520358030988992,0
0.388933542845937,0.470875641611057,0.506122380738101,0.524363513218006,0.561537375317018,0.142912649875468,0.24992171420942,0.401487174145862,0.219972951127299,0
0.725820470135697,0.715941947262965,0.506140697385146,0.521682874423615,0.751819198980531,0.148683151106415,0.467200080171188,0.658677661815299,0.242428086030649,0
0.610517269081908,0.532587564630696,0.23770142036752,0.270288248791923,0.495155109275303,0.494791709200671,0.409720518649191,0.469761677528409,0.585048924180861,0
0.79526481504292,0.63047704153566,0.448007529744548,0.654928814239838,0.781300266597288,0.656608156046326,0.634014287257528,0.549280431136518,0.578931120994549,0
0.517926343344401,0.377404611708406,0.572066414495384,0.52486045031517,0.561383952718013,0.405572597611595,0.539644808473183,0.607877204655805,0.43853360743326,0
0.500441086131386,0.341251433543764,0.327765980699975,0.188747513568388,0.435598587297604,0.26479831643835,0.553460647720393,0.614468289256899,0.395610643656719,0
0.444347234583198,0.464394322173339,0.725403933847481,0.701996825769817,0.668940878851297,0.571162724912634,0.376502263598966,0.576094988037749,0.5800781264344,0
0.650140522014689,0.821508915609114,0.422313377318809,0.469841357137097,0.765133725456062,0.500894405000822,0.450980493121562,0.544781857390838,0.60531476688817,0
0.51868221162346,0.578252012187508,0.450603531871165,0.259182423849879,0.587319436858417,0.486285457947564,0.415579710039314,0.469752738145621,0.220090086808461,0
0.467069343423087,0.388735332077885,0.545213792478572,0.380696070182303,0.51680404048389,0.583719781767134,0.63225785828035,0.593168716721606,0.455860429033388,0
0.375589208480193,0.275775935616551,0.301697271200852,0.738402032639155,0.566309339984655,0.491649603406162,0.365077932708448,0.41893642455031,0.66897018797096,0
0.456483253547481,0.513747094044093,0.372059905817501,0.620312366711974,0.552782416142575,0.383654040698726,0.511958308926847,0.617475181432975,0.743522701857027,0
0.233622261193618,0.551307328972683,0.589374471502267,0.629788281637506,0.724388661541743,0.435302117067477,0.46785340727361,0.188069853472213,0.54202839619857,0
0.504915523765425,0.55827624013925,0.264836898852578,0.392276508229714,0.594654004282743,0.25464151281208,0.230687548440903,0.545480080898043,0.721316424149107,0
0.741026772828214,0.181668002666564,0.391789903423698,0.576905200255631,0.507647594087805,0.383103734906333,0.430960414539658,0.49519135580171,0.715062500435585,0
0.521811483065431,0.66251803774705,0.573904447264284,0.464810933379253,0.7333887606663,0.381284942076458,0.32430000460999,0.311136327622723,0.339090134869289,0
0.354933213029895,0.48580072072464,0.343606600899765,0.397903094986231,0.553464274124953,0.435234154780179,0.353391777891527,0.352280073692283,0.486067588984534,0
0.247894753445002,0.45281258751911,0.434967372454564,0.353391070853384,0.446153082073889,0.462624203457141,0.275492706864892,0.563298918836007,0.399297014072751,0
0.656357804113571,0.513119826797021,0.433750501237455,0.402154873916018,0.565511944918773,0.353904502402934,0.575327050739216,0.18892511964707,0.569702258441642,0
0.370625600057866,0.497780920458783,0.290877590204173,0.562618100395524,0.533121664065349,0.241970499762534,0.321707912610996,0.441815812205885,0.591668786824244,0
0.502325069370802,0.677467619299602,0.506685919494224,0.462090843784369,0.729980915307417,0.236374045087521,0.358498350339245,0.498696431939468,0.739896282748823,0
0.703807684885893,0.53035648506513,0.171860096216359,0.467903629671398,0.591853390218604,0.238476121407253,0.875472975985431,0.548041708451494,0.642392221171048,0
0.488390975598924,0.558328291222461,0.182564680927296,0.261741867046389,0.53008622538656,0.343586579856402,0.446868425133719,0.682826515318124,0.34604506227037,0
0.7591553207159,0.409616354456196,0.274851735412528,0.356157693617154,0.50663937831553,0.221466573709286,0.318094210382525,0.605561970773536,0.505431609375659,0
0.619332565547147,0.519587049683537,0.377713006225467,0.300288972718012,0.536552441175429,0.368116075536697,0.466338538514992,0.340953391903443,0.431366482880087,0
0.550526943178648,0.110583702526176,0.208173056999452,0.325613638552327,0.335768571944083,0.731527366681384,0.298763913169967,0.498229704198871,0.197719361597536,0
